"GENE_NAME"	"SEU227"	"SEU235"	"SEU239"	"SLU227"	"SLU235"	"SLU239"
"DCTN1"	194.212400522788	149.107143333897	180.903155392603	141.165372985468	132.286073118005	125.546222030262
"C2orf81"	2.86192494708081	3.22727036885136	2.41309697768396	3.40810777029388	3.22474176073144	2.84582434956901
"WDR54"	20.3957436102088	16.0638289146197	18.355360617137	16.7694393697415	17.1627922598929	14.0641464232323
"RTKN"	5.97743818061183	4.56894456713788	6.72502436403727	5.65436061889667	6.41365305745476	4.45433376454279
"INO80B"	4.56458915610358	4.06128405967812	4.58884015428425	5.30580414238934	4.94460403312155	4.49557759569597
"MOGS"	27.5324425288787	17.5505489721804	21.5200779649193	20.4099181243736	18.2735366441448	16.6212639547291
"CCDC142"	8.69445553543538	7.0347241747996	8.4656189053175	7.93934196488916	7.66771929773921	6.10408701066975
"TTC31"	26.7354507714638	24.258919963613	25.8320053512726	24.7475098320204	27.1953221821685	21.4467921996505
"LBX2"	1.26794143225099	1.34167419828652	1.58235867389112	1.27804041386021	1.3257271683007	1.03109577882935
"PCGF1"	8.29595965672793	7.25229296371093	8.66341373955389	10.3792373004405	8.95761600203178	8.99115519139193
"AUP1"	58.5064403738673	59.1061876542441	64.9162645963833	59.4095149958047	55.5013887485889	56.0503665371635
"HTRA2"	11.4476997883233	12.0388063197601	11.9863669547253	13.2064176098888	11.2149352345438	11.0121029178975
"LOXL3"	4.23854707352475	4.7139904264121	4.58884015428425	3.6404787546321	5.26707820919469	3.91816395955153
"DOK1"	3.36910151998121	2.86465572066582	3.5998659831023	1.93642486948516	2.5081324805689	2.35089837573092
"SEMA4F"	26.7354507714638	23.8963053154275	27.453922992011	24.1278538737851	26.2278996539491	24.2926165492195
"HK2"	181.750347588664	160.602027681378	174.138572061718	158.012269349989	146.152462689151	164.356667145398
"POLE4"	6.04989197674045	6.56332513215839	5.41957845807709	7.90061346749946	6.95111001757666	5.15547889414675
"EVA1A"	16.1209696386198	14.6133703218775	16.931237810635	15.3752134637122	15.3712690594865	16.2088256431974
"MRPL19"	194.212400522788	203.281771772817	199.851900512449	194.881798864987	174.781003431644	225.603756407862
"GCFC2"	23.9097527224473	25.7819014859923	27.3748050583164	27.0712196754025	30.7425381189731	29.9842652483575
